"PopSize" "Ne"
1 3.0447739496204
2 8.11007117251976
3 12.2912589637006
4 14.7989246139587
5 19.9673133163908
6 22.9230798455597
7 26.1382277402298
8 29.978364287196
9 32.4394499799795
10 37.0658873052911
11 40.6822803404626
12 42.2095981206478
13 45.941805578738
14 49.5787437612513
15 51.5973945264204
16 51.5890496811
17 57.8679257016464
18 59.1002099629717
19 59.2428702165903
20 65.7938007418638
21 66.6547159891096
22 71.540511522732
23 70.8788365340891
24 72.9814652994468
25 73.8601737075896
26 79.2756407319924
27 78.5163055470707
28 79.6386263642191
29 84.0408839797174
30 85.5175720003219
31 86.7423986506715
32 87.6157918106169
33 86.7710194662636
34 87.5895330335487
35 91.3326720619885
36 95.7189253191805
37 97.1416876347559
38 95.6764765129158
39 94.1370056990806
40 96.1932096737954
41 95.245019364852
42 95.9193024965058
43 95.8930766165987
44 98.4756077160912
45 97.6850007156479
46 99.080656575371
47 103.962577967138
48 101.133255599286
49 102.348740824008
50 103.012539173488
51 98.4064693349925
52 101.95725258469
53 98.5208042693171
54 101.077483452089
55 101.348980750304
56 98.0980783003034
57 98.2552516485125
58 100.677605234547
59 99.8142775109286
60 97.6328960961271
61 94.6398921206901
62 93.0727212545684
63 94.3081915241551
64 93.4786310521201
65 92.8113553826368
66 90.6058602938764
67 86.7978840940292
68 84.7094437286964
69 83.6275066493215
70 83.6165472614999
71 81.0935730560844
72 78.092895413916
73 78.0434288205509
74 77.5169302594192
75 76.7321375347239
76 72.21145021713
77 70.8780993784237
78 67.7216336691911
79 68.1573483184212
80 62.3402773993182
81 62.0407555160813
82 58.8401934217625
83 54.4182311312821
84 51.8781700417516
85 53.9772176125943
86 50.7422676906645
87 45.2994056469823
88 43.6690694974089
89 39.1586812656993
90 37.0174719123355
91 33.2539300342683
92 30.155962847121
93 27.1635520620394
94 22.247437943261
95 18.8546860048129
96 15.7450784038523
97 11.4265838470101
98 8.43619461503418
99 3.09607896909476
