t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.875501e-01	6.843339e-07	5000
2	100	9.789121e-01	4.517845e-06	5000
3	100	9.696949e-01	1.435616e-05	5000
4	100	9.603487e-01	3.287176e-05	5000
5	100	9.507884e-01	6.655203e-05	5000
6	100	9.411975e-01	1.093557e-04	5000
7	100	9.314744e-01	1.714593e-04	5000
8	100	9.220738e-01	2.501905e-04	5000
9	100	9.130940e-01	3.422217e-04	5000
10	100	9.038569e-01	4.588860e-04	5000
11	100	8.952107e-01	5.813647e-04	5000
12	100	8.860744e-01	7.387608e-04	5000
13	100	8.771242e-01	9.349524e-04	5000
14	100	8.683692e-01	1.106619e-03	5000
15	100	8.598392e-01	1.335195e-03	5000
16	100	8.513020e-01	1.589812e-03	5000
17	100	8.430412e-01	1.917961e-03	5000
18	100	8.342190e-01	2.212474e-03	5000
19	100	8.259303e-01	2.530452e-03	5000
20	100	8.173910e-01	2.914874e-03	5000
21	100	8.091336e-01	3.347725e-03	5000
22	100	8.008561e-01	3.726951e-03	5000
23	100	7.926176e-01	4.234346e-03	5000
24	100	7.843882e-01	4.773688e-03	5000
25	100	7.760125e-01	5.229123e-03	5000
26	100	7.680669e-01	5.732336e-03	5000
27	100	7.609299e-01	6.275206e-03	5000
28	100	7.534220e-01	6.729401e-03	5000
29	100	7.462454e-01	7.192307e-03	5000
30	100	7.390924e-01	7.799544e-03	5000
31	100	7.326440e-01	8.109897e-03	5000
32	100	7.253010e-01	8.621665e-03	5000
33	100	7.182478e-01	9.130662e-03	5000
34	100	7.109199e-01	9.865082e-03	5000
35	100	7.035928e-01	1.056964e-02	5000
36	100	6.961930e-01	1.126301e-02	5000
37	100	6.897180e-01	1.180050e-02	5000
38	100	6.827599e-01	1.240619e-02	5000
39	100	6.757359e-01	1.315987e-02	5000
40	100	6.688154e-01	1.396729e-02	5000
41	100	6.618091e-01	1.466141e-02	5000
42	100	6.550144e-01	1.512628e-02	5000
43	100	6.485668e-01	1.582902e-02	5000
44	100	6.419487e-01	1.649301e-02	5000
45	100	6.349939e-01	1.731488e-02	5000
46	100	6.277706e-01	1.827317e-02	5000
47	100	6.213096e-01	1.881770e-02	5000
48	100	6.150371e-01	1.963414e-02	5000
49	100	6.094239e-01	2.019084e-02	5000
50	100	6.029182e-01	2.084082e-02	5000
51	100	5.967001e-01	2.158887e-02	5000
52	100	5.912722e-01	2.219722e-02	5000
53	100	5.852886e-01	2.300960e-02	5000
54	100	5.796100e-01	2.370217e-02	5000
55	100	5.741976e-01	2.435413e-02	5000
56	100	5.682840e-01	2.515201e-02	5000
57	100	5.629366e-01	2.583491e-02	5000
58	100	5.566047e-01	2.645343e-02	5000
59	100	5.510915e-01	2.687535e-02	5000
60	100	5.461006e-01	2.732883e-02	5000
61	100	5.410722e-01	2.796160e-02	5000
62	100	5.355567e-01	2.857528e-02	5000
63	100	5.307070e-01	2.879557e-02	5000
64	100	5.252708e-01	2.949053e-02	5000
65	100	5.196557e-01	3.008553e-02	5000
66	100	5.150628e-01	3.070457e-02	5000
67	100	5.095233e-01	3.126813e-02	5000
68	100	5.041689e-01	3.224952e-02	5000
69	100	4.992785e-01	3.275076e-02	5000
70	100	4.939319e-01	3.297319e-02	5000
71	100	4.890692e-01	3.354930e-02	5000
72	100	4.838732e-01	3.420357e-02	5000
73	100	4.793003e-01	3.471913e-02	5000
74	100	4.751188e-01	3.519759e-02	5000
75	100	4.701269e-01	3.544257e-02	5000
76	100	4.659554e-01	3.602422e-02	5000
77	100	4.610947e-01	3.634049e-02	5000
78	100	4.562458e-01	3.688685e-02	5000
79	100	4.522840e-01	3.710516e-02	5000
80	100	4.481494e-01	3.777770e-02	5000
81	100	4.433129e-01	3.833685e-02	5000
82	100	4.388085e-01	3.880571e-02	5000
83	100	4.346147e-01	3.927935e-02	5000
84	100	4.310691e-01	3.983937e-02	5000
85	100	4.269220e-01	4.035456e-02	5000
86	100	4.226928e-01	4.071791e-02	5000
87	100	4.181699e-01	4.078222e-02	5000
88	100	4.134761e-01	4.118810e-02	5000
89	100	4.099278e-01	4.154878e-02	5000
90	100	4.051737e-01	4.193401e-02	5000
91	100	4.000656e-01	4.234764e-02	5000
92	100	3.969849e-01	4.264933e-02	5000
93	100	3.930903e-01	4.290457e-02	5000
94	100	3.891017e-01	4.328062e-02	5000
95	100	3.858188e-01	4.377625e-02	5000
96	100	3.824137e-01	4.391874e-02	5000
97	100	3.782665e-01	4.440266e-02	5000
98	100	3.742875e-01	4.465109e-02	5000
99	100	3.709534e-01	4.497277e-02	5000
100	100	3.668617e-01	4.519098e-02	5000
101	100	3.635241e-01	4.531181e-02	5000
102	100	3.596637e-01	4.550999e-02	5000
103	100	3.560362e-01	4.555008e-02	5000
104	100	3.523649e-01	4.594079e-02	5000
105	100	3.489308e-01	4.629734e-02	5000
106	100	3.452752e-01	4.649547e-02	5000
107	100	3.419760e-01	4.668965e-02	5000
108	100	3.388374e-01	4.674438e-02	5000
109	100	3.354295e-01	4.706073e-02	5000
110	100	3.322481e-01	4.716968e-02	5000
111	100	3.295088e-01	4.718287e-02	5000
112	100	3.263452e-01	4.742915e-02	5000
113	100	3.228353e-01	4.751161e-02	5000
114	100	3.189499e-01	4.764005e-02	5000
115	100	3.162558e-01	4.778086e-02	5000
116	100	3.124428e-01	4.788245e-02	5000
117	100	3.093898e-01	4.796725e-02	5000
118	100	3.063835e-01	4.809195e-02	5000
119	100	3.036961e-01	4.782769e-02	5000
120	100	3.003092e-01	4.777967e-02	5000
121	100	2.979937e-01	4.784728e-02	5000
122	100	2.954134e-01	4.802183e-02	5000
123	100	2.922028e-01	4.805653e-02	5000
124	100	2.884850e-01	4.790545e-02	5000
125	100	2.855827e-01	4.806088e-02	5000
126	100	2.827400e-01	4.821552e-02	5000
127	100	2.799904e-01	4.840707e-02	5000
128	100	2.769500e-01	4.827875e-02	5000
129	100	2.739526e-01	4.839854e-02	5000
130	100	2.711550e-01	4.840143e-02	5000
131	100	2.687406e-01	4.843107e-02	5000
132	100	2.655176e-01	4.837293e-02	5000
133	100	2.623055e-01	4.816842e-02	5000
134	100	2.600161e-01	4.812630e-02	5000
135	100	2.568408e-01	4.812207e-02	5000
136	100	2.545806e-01	4.817684e-02	5000
137	100	2.523912e-01	4.815758e-02	5000
138	100	2.495645e-01	4.815640e-02	5000
139	100	2.465932e-01	4.782691e-02	5000
140	100	2.441514e-01	4.765829e-02	5000
141	100	2.419519e-01	4.766828e-02	5000
142	100	2.396847e-01	4.759847e-02	5000
143	100	2.366274e-01	4.727790e-02	5000
144	100	2.345376e-01	4.715337e-02	5000
145	100	2.313942e-01	4.721371e-02	5000
146	100	2.291281e-01	4.716494e-02	5000
147	100	2.264642e-01	4.709267e-02	5000
148	100	2.247973e-01	4.706144e-02	5000
149	100	2.229156e-01	4.690807e-02	5000
150	100	2.205381e-01	4.709473e-02	5000
151	100	2.183644e-01	4.690697e-02	5000
152	100	2.167678e-01	4.695121e-02	5000
153	100	2.144375e-01	4.680369e-02	5000
154	100	2.119572e-01	4.644827e-02	5000
155	100	2.095818e-01	4.631021e-02	5000
156	100	2.077227e-01	4.619324e-02	5000
157	100	2.058634e-01	4.598343e-02	5000
158	100	2.033308e-01	4.569834e-02	5000
159	100	2.013736e-01	4.562339e-02	5000
160	100	1.992143e-01	4.537629e-02	5000
161	100	1.973403e-01	4.528387e-02	5000
162	100	1.948621e-01	4.492193e-02	5000
163	100	1.932006e-01	4.472898e-02	5000
164	100	1.911610e-01	4.445984e-02	5000
165	100	1.899413e-01	4.444227e-02	5000
166	100	1.881716e-01	4.422913e-02	5000
167	100	1.861162e-01	4.399445e-02	5000
168	100	1.840958e-01	4.386225e-02	5000
169	100	1.822224e-01	4.379939e-02	5000
170	100	1.801982e-01	4.360440e-02	5000
171	100	1.781988e-01	4.330443e-02	5000
172	100	1.764607e-01	4.302654e-02	5000
173	100	1.757062e-01	4.319153e-02	5000
174	100	1.739326e-01	4.315076e-02	5000
175	100	1.724814e-01	4.298470e-02	5000
176	100	1.714377e-01	4.298718e-02	5000
177	100	1.697833e-01	4.277131e-02	5000
178	100	1.685092e-01	4.259390e-02	5000
179	100	1.670909e-01	4.241422e-02	5000
180	100	1.658089e-01	4.215505e-02	5000
181	100	1.635751e-01	4.182671e-02	5000
182	100	1.625267e-01	4.167535e-02	5000
183	100	1.610130e-01	4.138159e-02	5000
184	100	1.602831e-01	4.140271e-02	5000
185	100	1.583534e-01	4.121831e-02	5000
186	100	1.566220e-01	4.087376e-02	5000
187	100	1.549950e-01	4.052000e-02	5000
188	100	1.539011e-01	4.041184e-02	5000
189	100	1.525205e-01	4.040887e-02	5000
190	100	1.511456e-01	4.030920e-02	5000
191	100	1.502083e-01	4.023584e-02	5000
192	100	1.491618e-01	4.021364e-02	5000
193	100	1.477068e-01	3.971633e-02	5000
194	100	1.463241e-01	3.955654e-02	5000
195	100	1.451144e-01	3.942255e-02	5000
196	100	1.441548e-01	3.931601e-02	5000
197	100	1.424922e-01	3.911482e-02	5000
198	100	1.406638e-01	3.879781e-02	5000
199	100	1.387792e-01	3.850855e-02	5000
200	100	1.374741e-01	3.840488e-02	5000
201	100	1.363627e-01	3.819024e-02	5000
202	100	1.356142e-01	3.813948e-02	5000
203	100	1.346170e-01	3.805926e-02	5000
204	100	1.333619e-01	3.770422e-02	5000
205	100	1.318638e-01	3.733003e-02	5000
206	100	1.307885e-01	3.716582e-02	5000
207	100	1.295934e-01	3.680083e-02	5000
208	100	1.288110e-01	3.674362e-02	5000
209	100	1.274254e-01	3.641724e-02	5000
210	100	1.260963e-01	3.609614e-02	5000
211	100	1.253780e-01	3.600462e-02	5000
212	100	1.238056e-01	3.564155e-02	5000
213	100	1.228490e-01	3.552109e-02	5000
214	100	1.212870e-01	3.506022e-02	5000
215	100	1.197808e-01	3.483740e-02	5000
216	100	1.185190e-01	3.467617e-02	5000
217	100	1.175446e-01	3.452839e-02	5000
218	100	1.159536e-01	3.409222e-02	5000
219	100	1.146571e-01	3.375806e-02	5000
220	100	1.136858e-01	3.354875e-02	5000
221	100	1.123034e-01	3.332919e-02	5000
222	100	1.114338e-01	3.323469e-02	5000
223	100	1.100712e-01	3.299721e-02	5000
224	100	1.083546e-01	3.245643e-02	5000
225	100	1.073214e-01	3.227811e-02	5000
226	100	1.066059e-01	3.228103e-02	5000
227	100	1.052482e-01	3.184451e-02	5000
228	100	1.041191e-01	3.153951e-02	5000
229	100	1.034496e-01	3.159386e-02	5000
230	100	1.023552e-01	3.136581e-02	5000
231	100	1.020230e-01	3.151880e-02	5000
232	100	1.008908e-01	3.130805e-02	5000
233	100	9.944340e-02	3.084840e-02	5000
234	100	9.853808e-02	3.058224e-02	5000
235	100	9.762144e-02	3.036361e-02	5000
236	100	9.720080e-02	3.035357e-02	5000
237	100	9.599308e-02	3.006226e-02	5000
238	100	9.512152e-02	2.993427e-02	5000
239	100	9.397732e-02	2.960521e-02	5000
240	100	9.315540e-02	2.943550e-02	5000
241	100	9.229580e-02	2.927097e-02	5000
242	100	9.133160e-02	2.897052e-02	5000
243	100	9.007008e-02	2.857573e-02	5000
244	100	8.944124e-02	2.853644e-02	5000
245	100	8.858776e-02	2.828191e-02	5000
246	100	8.759852e-02	2.796189e-02	5000
247	100	8.617548e-02	2.758920e-02	5000
248	100	8.575624e-02	2.761075e-02	5000
249	100	8.470208e-02	2.727988e-02	5000
250	100	8.373384e-02	2.704204e-02	5000
251	100	8.294760e-02	2.694795e-02	5000
252	100	8.226764e-02	2.682875e-02	5000
253	100	8.121724e-02	2.655336e-02	5000
254	100	8.025420e-02	2.621921e-02	5000
255	100	7.947736e-02	2.600984e-02	5000
256	100	7.893364e-02	2.597252e-02	5000
257	100	7.804320e-02	2.569680e-02	5000
258	100	7.689244e-02	2.530830e-02	5000
259	100	7.609984e-02	2.503913e-02	5000
260	100	7.564532e-02	2.503497e-02	5000
261	100	7.525020e-02	2.492784e-02	5000
262	100	7.461624e-02	2.489727e-02	5000
263	100	7.410496e-02	2.475645e-02	5000
264	100	7.391688e-02	2.478119e-02	5000
265	100	7.317212e-02	2.462814e-02	5000
266	100	7.253008e-02	2.449566e-02	5000
267	100	7.161228e-02	2.426726e-02	5000
268	100	7.108052e-02	2.410714e-02	5000
269	100	7.008544e-02	2.379476e-02	5000
270	100	6.994780e-02	2.377742e-02	5000
271	100	6.871680e-02	2.329090e-02	5000
272	100	6.806172e-02	2.310582e-02	5000
273	100	6.763844e-02	2.300205e-02	5000
274	100	6.700992e-02	2.286403e-02	5000
275	100	6.670824e-02	2.278543e-02	5000
276	100	6.598976e-02	2.251985e-02	5000
277	100	6.554460e-02	2.246528e-02	5000
278	100	6.484964e-02	2.221869e-02	5000
279	100	6.411024e-02	2.199181e-02	5000
280	100	6.361704e-02	2.185496e-02	5000
281	100	6.331268e-02	2.178464e-02	5000
282	100	6.305152e-02	2.180893e-02	5000
283	100	6.249268e-02	2.156540e-02	5000
284	100	6.192328e-02	2.134528e-02	5000
285	100	6.147252e-02	2.125163e-02	5000
286	100	6.087432e-02	2.108264e-02	5000
287	100	6.063556e-02	2.115274e-02	5000
288	100	5.973028e-02	2.087422e-02	5000
289	100	5.893396e-02	2.051871e-02	5000
290	100	5.859904e-02	2.048826e-02	5000
291	100	5.759844e-02	2.010351e-02	5000
292	100	5.732760e-02	2.007933e-02	5000
293	100	5.684392e-02	1.994868e-02	5000
294	100	5.611528e-02	1.970154e-02	5000
295	100	5.561092e-02	1.951822e-02	5000
296	100	5.469940e-02	1.919371e-02	5000
297	100	5.394616e-02	1.902061e-02	5000
298	100	5.357420e-02	1.891965e-02	5000
299	100	5.342768e-02	1.891136e-02	5000
300	100	5.292216e-02	1.869793e-02	5000
301	100	5.236600e-02	1.855679e-02	5000
302	100	5.190152e-02	1.836540e-02	5000
303	100	5.165136e-02	1.830820e-02	5000
304	100	5.109616e-02	1.810415e-02	5000
305	100	5.080280e-02	1.806775e-02	5000
306	100	5.057060e-02	1.802938e-02	5000
307	100	5.011904e-02	1.795718e-02	5000
308	100	4.943028e-02	1.774088e-02	5000
309	100	4.900516e-02	1.762850e-02	5000
310	100	4.853508e-02	1.754446e-02	5000
311	100	4.807704e-02	1.735815e-02	5000
312	100	4.758000e-02	1.721966e-02	5000
