t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.868331e-01	6.852173e-07	5000
2	100	9.787351e-01	3.662453e-06	5000
3	100	9.707241e-01	1.080848e-05	5000
4	100	9.628085e-01	2.413504e-05	5000
5	100	9.549605e-01	4.439464e-05	5000
6	100	9.470488e-01	7.436200e-05	5000
7	100	9.393651e-01	1.114371e-04	5000
8	100	9.316413e-01	1.702459e-04	5000
9	100	9.241835e-01	2.319863e-04	5000
10	100	9.166664e-01	3.072495e-04	5000
11	100	9.089851e-01	4.133341e-04	5000
12	100	9.013998e-01	5.374474e-04	5000
13	100	8.941007e-01	6.607342e-04	5000
14	100	8.868080e-01	8.000775e-04	5000
15	100	8.790134e-01	9.660458e-04	5000
16	100	8.718004e-01	1.122642e-03	5000
17	100	8.644874e-01	1.315232e-03	5000
18	100	8.574775e-01	1.488335e-03	5000
19	100	8.501807e-01	1.734415e-03	5000
20	100	8.432353e-01	1.939280e-03	5000
21	100	8.367808e-01	2.149746e-03	5000
22	100	8.301666e-01	2.376315e-03	5000
23	100	8.233805e-01	2.585084e-03	5000
24	100	8.166733e-01	2.875960e-03	5000
25	100	8.099022e-01	3.239785e-03	5000
26	100	8.030539e-01	3.579299e-03	5000
27	100	7.962584e-01	3.897065e-03	5000
28	100	7.897294e-01	4.232829e-03	5000
29	100	7.830184e-01	4.594715e-03	5000
30	100	7.764999e-01	4.932813e-03	5000
31	100	7.697772e-01	5.418109e-03	5000
32	100	7.633474e-01	5.875931e-03	5000
33	100	7.572357e-01	6.218503e-03	5000
34	100	7.513293e-01	6.595429e-03	5000
35	100	7.454817e-01	7.028904e-03	5000
36	100	7.393976e-01	7.477893e-03	5000
37	100	7.333535e-01	7.904822e-03	5000
38	100	7.276665e-01	8.360606e-03	5000
39	100	7.220072e-01	8.782203e-03	5000
40	100	7.156537e-01	9.275554e-03	5000
41	100	7.095885e-01	9.824695e-03	5000
42	100	7.043283e-01	1.030421e-02	5000
43	100	6.982446e-01	1.080112e-02	5000
44	100	6.918496e-01	1.151459e-02	5000
45	100	6.867633e-01	1.213662e-02	5000
46	100	6.807473e-01	1.257935e-02	5000
47	100	6.748861e-01	1.321281e-02	5000
48	100	6.691377e-01	1.370703e-02	5000
49	100	6.637149e-01	1.415990e-02	5000
50	100	6.590211e-01	1.461950e-02	5000
51	100	6.541009e-01	1.516713e-02	5000
52	100	6.486962e-01	1.558378e-02	5000
53	100	6.428574e-01	1.644638e-02	5000
54	100	6.372889e-01	1.716170e-02	5000
55	100	6.322755e-01	1.776730e-02	5000
56	100	6.272266e-01	1.843015e-02	5000
57	100	6.229241e-01	1.887060e-02	5000
58	100	6.180214e-01	1.926206e-02	5000
59	100	6.132287e-01	1.966916e-02	5000
60	100	6.076653e-01	2.019241e-02	5000
61	100	6.031451e-01	2.063127e-02	5000
62	100	5.983741e-01	2.087626e-02	5000
63	100	5.928285e-01	2.141627e-02	5000
64	100	5.876346e-01	2.199249e-02	5000
65	100	5.818701e-01	2.252413e-02	5000
66	100	5.770928e-01	2.314250e-02	5000
67	100	5.728135e-01	2.359192e-02	5000
68	100	5.687602e-01	2.413075e-02	5000
69	100	5.637888e-01	2.463082e-02	5000
70	100	5.590544e-01	2.501767e-02	5000
71	100	5.542708e-01	2.542511e-02	5000
72	100	5.491235e-01	2.625255e-02	5000
73	100	5.455087e-01	2.669400e-02	5000
74	100	5.407562e-01	2.725172e-02	5000
75	100	5.355905e-01	2.776159e-02	5000
76	100	5.305818e-01	2.821819e-02	5000
77	100	5.264704e-01	2.888274e-02	5000
78	100	5.220122e-01	2.944343e-02	5000
79	100	5.177316e-01	3.013230e-02	5000
80	100	5.130231e-01	3.059683e-02	5000
81	100	5.086055e-01	3.107134e-02	5000
82	100	5.052453e-01	3.173201e-02	5000
83	100	5.016885e-01	3.204893e-02	5000
84	100	4.972220e-01	3.256193e-02	5000
85	100	4.923490e-01	3.323376e-02	5000
86	100	4.881639e-01	3.369771e-02	5000
87	100	4.838548e-01	3.400034e-02	5000
88	100	4.798007e-01	3.450953e-02	5000
89	100	4.757598e-01	3.484230e-02	5000
90	100	4.724070e-01	3.530275e-02	5000
91	100	4.687300e-01	3.569202e-02	5000
92	100	4.649863e-01	3.581022e-02	5000
93	100	4.600287e-01	3.656718e-02	5000
94	100	4.560282e-01	3.696313e-02	5000
95	100	4.525526e-01	3.751686e-02	5000
96	100	4.485281e-01	3.804975e-02	5000
97	100	4.455358e-01	3.858400e-02	5000
98	100	4.418804e-01	3.900728e-02	5000
99	100	4.381442e-01	3.970642e-02	5000
100	100	4.342747e-01	3.999433e-02	5000

