t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	-4.898331e-15	500
1	100	9.886077e-01	4.728902e-07	500
2	100	9.823580e-01	2.044600e-06	500
3	100	9.760504e-01	5.797591e-06	500
4	100	9.698264e-01	1.367804e-05	500
5	100	9.637751e-01	2.622779e-05	500
6	100	9.580257e-01	3.454654e-05	500
7	100	9.520206e-01	5.808232e-05	500
8	100	9.456412e-01	8.783704e-05	500
9	100	9.397703e-01	1.212325e-04	500
10	100	9.340384e-01	1.771030e-04	500
11	100	9.279351e-01	2.540330e-04	500
12	100	9.222034e-01	2.946083e-04	500
13	100	9.163064e-01	3.366509e-04	500
14	100	9.101725e-01	4.312878e-04	500
15	100	9.045107e-01	4.896345e-04	500
16	100	8.988398e-01	5.782747e-04	500
17	100	8.934156e-01	6.251833e-04	500
18	100	8.886859e-01	6.738580e-04	500
19	100	8.824173e-01	7.715392e-04	500
20	100	8.768131e-01	9.148813e-04	500
21	100	8.717079e-01	9.452904e-04	500
22	100	8.663470e-01	1.018268e-03	500
23	100	8.601609e-01	1.071874e-03	500
24	100	8.556788e-01	1.162189e-03	500
25	100	8.509536e-01	1.249853e-03	500
26	100	8.457523e-01	1.365139e-03	500
27	100	8.410919e-01	1.630006e-03	500
28	100	8.361637e-01	1.714872e-03	500
29	100	8.308958e-01	1.841493e-03	500
30	100	8.269904e-01	1.988357e-03	500
31	100	8.212181e-01	2.335509e-03	500
32	100	8.161031e-01	2.384509e-03	500
33	100	8.109474e-01	2.576414e-03	500
34	100	8.060068e-01	2.728071e-03	500
35	100	8.012579e-01	2.901815e-03	500
36	100	7.959675e-01	3.298834e-03	500
37	100	7.896145e-01	3.524533e-03	500
38	100	7.854319e-01	3.545351e-03	500
39	100	7.801235e-01	3.737920e-03	500
40	100	7.750167e-01	4.197566e-03	500
41	100	7.704567e-01	4.550055e-03	500
42	100	7.651322e-01	4.791210e-03	500
43	100	7.612295e-01	5.233372e-03	500
44	100	7.557433e-01	5.347104e-03	500
45	100	7.518532e-01	5.735585e-03	500
46	100	7.463843e-01	6.629804e-03	500
47	100	7.431029e-01	6.849689e-03	500
48	100	7.387716e-01	7.034881e-03	500
49	100	7.358359e-01	7.053904e-03	500
50	100	7.317891e-01	6.989162e-03	500
51	100	7.291485e-01	7.091871e-03	500
52	100	7.244031e-01	7.480982e-03	500
53	100	7.204557e-01	7.557799e-03	500
54	100	7.153165e-01	7.760690e-03	500
55	100	7.090709e-01	8.295041e-03	500
56	100	7.039819e-01	8.702278e-03	500
57	100	7.001213e-01	9.423343e-03	500
58	100	6.972161e-01	9.816061e-03	500
59	100	6.937358e-01	9.844940e-03	500
60	100	6.896343e-01	9.904885e-03	500
61	100	6.847177e-01	9.941845e-03	500
62	100	6.803647e-01	1.048632e-02	500
63	100	6.752854e-01	1.079383e-02	500
64	100	6.688639e-01	1.143950e-02	500
65	100	6.650029e-01	1.186739e-02	500
66	100	6.591807e-01	1.253342e-02	500
67	100	6.532653e-01	1.342986e-02	500
68	100	6.479703e-01	1.371508e-02	500
69	100	6.430699e-01	1.436150e-02	500
70	100	6.393439e-01	1.465285e-02	500
71	100	6.367815e-01	1.499377e-02	500
72	100	6.319059e-01	1.531993e-02	500
73	100	6.269586e-01	1.569524e-02	500
74	100	6.223089e-01	1.587598e-02	500
75	100	6.193620e-01	1.618856e-02	500
76	100	6.148494e-01	1.638706e-02	500
77	100	6.104018e-01	1.648857e-02	500
78	100	6.052438e-01	1.702138e-02	500
79	100	6.000975e-01	1.817251e-02	500
80	100	5.968777e-01	1.842739e-02	500
81	100	5.943264e-01	1.833720e-02	500
82	100	5.909732e-01	1.923172e-02	500
83	100	5.857553e-01	1.996363e-02	500
84	100	5.807505e-01	2.064896e-02	500
85	100	5.786620e-01	2.123572e-02	500
86	100	5.763702e-01	2.070564e-02	500
87	100	5.724058e-01	2.133621e-02	500
88	100	5.681594e-01	2.186269e-02	500
89	100	5.631078e-01	2.325694e-02	500
90	100	5.580208e-01	2.347997e-02	500
91	100	5.537062e-01	2.398567e-02	500
92	100	5.499857e-01	2.441145e-02	500
93	100	5.467402e-01	2.491302e-02	500
94	100	5.433302e-01	2.503065e-02	500
95	100	5.405401e-01	2.523870e-02	500
96	100	5.356702e-01	2.518578e-02	500
97	100	5.299957e-01	2.574586e-02	500
98	100	5.231790e-01	2.643825e-02	500
99	100	5.198189e-01	2.657323e-02	500
100	100	5.158391e-01	2.671728e-02	500

