t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.900210e-01	2.528458e-07	5000
2	100	9.850584e-01	1.277548e-06	5000
3	100	9.801199e-01	3.504394e-06	5000
4	100	9.752358e-01	7.303078e-06	5000
5	100	9.703658e-01	1.257608e-05	5000
6	100	9.654708e-01	2.140698e-05	5000
7	100	9.606647e-01	3.183365e-05	5000
8	100	9.557928e-01	4.798422e-05	5000
9	100	9.508434e-01	6.769917e-05	5000
10	100	9.461270e-01	8.691444e-05	5000
11	100	9.414084e-01	1.121917e-04	5000
12	100	9.367420e-01	1.431338e-04	5000
13	100	9.319476e-01	1.734556e-04	5000
14	100	9.273787e-01	2.128765e-04	5000
15	100	9.228022e-01	2.502214e-04	5000
16	100	9.183308e-01	2.935218e-04	5000
17	100	9.137515e-01	3.475219e-04	5000
18	100	9.090275e-01	4.061672e-04	5000
19	100	9.044475e-01	4.717675e-04	5000
20	100	8.998535e-01	5.311107e-04	5000
21	100	8.952366e-01	6.109779e-04	5000
22	100	8.906389e-01	6.989748e-04	5000
23	100	8.860463e-01	7.863280e-04	5000
24	100	8.817094e-01	8.514347e-04	5000
25	100	8.771704e-01	9.722083e-04	5000
26	100	8.730253e-01	1.075354e-03	5000
27	100	8.683495e-01	1.186612e-03	5000
28	100	8.640023e-01	1.311511e-03	5000
29	100	8.599333e-01	1.419490e-03	5000
30	100	8.557807e-01	1.511020e-03	5000
31	100	8.516104e-01	1.654275e-03	5000
32	100	8.475003e-01	1.746895e-03	5000
33	100	8.433212e-01	1.889114e-03	5000
34	100	8.392374e-01	2.038641e-03	5000
35	100	8.352492e-01	2.156298e-03	5000
36	100	8.312131e-01	2.311964e-03	5000
37	100	8.271106e-01	2.492296e-03	5000
38	100	8.228362e-01	2.694271e-03	5000
39	100	8.186253e-01	2.920489e-03	5000
40	100	8.145302e-01	3.104882e-03	5000
41	100	8.103139e-01	3.334310e-03	5000
42	100	8.062284e-01	3.516532e-03	5000
43	100	8.019258e-01	3.739064e-03	5000
44	100	7.979878e-01	3.932367e-03	5000
45	100	7.940998e-01	4.180684e-03	5000
46	100	7.900858e-01	4.365389e-03	5000
47	100	7.865246e-01	4.606321e-03	5000
48	100	7.831336e-01	4.739859e-03	5000
49	100	7.789479e-01	4.916171e-03	5000
50	100	7.753972e-01	5.130309e-03	5000
51	100	7.717272e-01	5.308406e-03	5000
52	100	7.677799e-01	5.573447e-03	5000
53	100	7.636809e-01	5.795636e-03	5000
54	100	7.600349e-01	6.013592e-03	5000
55	100	7.562708e-01	6.258003e-03	5000
56	100	7.523141e-01	6.684084e-03	5000
57	100	7.489747e-01	6.895568e-03	5000
58	100	7.449349e-01	7.202049e-03	5000
59	100	7.410163e-01	7.530205e-03	5000
60	100	7.370544e-01	7.792778e-03	5000
61	100	7.331346e-01	8.096613e-03	5000
62	100	7.296141e-01	8.250971e-03	5000
63	100	7.260968e-01	8.591292e-03	5000
64	100	7.226161e-01	9.000520e-03	5000
65	100	7.187250e-01	9.376291e-03	5000
66	100	7.152133e-01	9.618403e-03	5000
67	100	7.118876e-01	9.819089e-03	5000
68	100	7.082034e-01	1.018905e-02	5000
69	100	7.049596e-01	1.043135e-02	5000
70	100	7.019513e-01	1.065013e-02	5000
71	100	6.985837e-01	1.110501e-02	5000
72	100	6.948979e-01	1.144379e-02	5000
73	100	6.913551e-01	1.174841e-02	5000
74	100	6.876495e-01	1.197080e-02	5000
75	100	6.839726e-01	1.237720e-02	5000
76	100	6.808466e-01	1.263788e-02	5000
77	100	6.772641e-01	1.297490e-02	5000
78	100	6.739727e-01	1.323006e-02	5000
79	100	6.712836e-01	1.332714e-02	5000
80	100	6.679293e-01	1.359344e-02	5000
81	100	6.647042e-01	1.386454e-02	5000
