t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.900204e-01	2.457682e-07	5000
2	100	9.850604e-01	1.234361e-06	5000
3	100	9.801182e-01	3.349721e-06	5000
4	100	9.752449e-01	7.173417e-06	5000
5	100	9.703619e-01	1.267094e-05	5000
6	100	9.654994e-01	2.133107e-05	5000
7	100	9.606046e-01	3.192005e-05	5000
8	100	9.557602e-01	4.533291e-05	5000
9	100	9.509204e-01	6.171929e-05	5000
10	100	9.460633e-01	8.369162e-05	5000
11	100	9.411890e-01	1.119492e-04	5000
12	100	9.364661e-01	1.398752e-04	5000
13	100	9.317800e-01	1.693724e-04	5000
14	100	9.269623e-01	2.157054e-04	5000
15	100	9.223271e-01	2.603078e-04	5000
16	100	9.176326e-01	3.052980e-04	5000
17	100	9.128600e-01	3.589135e-04	5000
18	100	9.082981e-01	4.105615e-04	5000
19	100	9.037824e-01	4.780409e-04	5000
20	100	8.992766e-01	5.396386e-04	5000
21	100	8.948804e-01	6.329284e-04	5000
22	100	8.905113e-01	6.979077e-04	5000
23	100	8.861908e-01	7.803702e-04	5000
24	100	8.816923e-01	8.854254e-04	5000
25	100	8.774515e-01	9.609287e-04	5000
26	100	8.728446e-01	1.081653e-03	5000
27	100	8.687621e-01	1.188721e-03	5000
28	100	8.641063e-01	1.347381e-03	5000
29	100	8.600936e-01	1.454201e-03	5000
30	100	8.553998e-01	1.603175e-03	5000
31	100	8.513332e-01	1.731608e-03	5000
32	100	8.469083e-01	1.931236e-03	5000
33	100	8.429625e-01	2.053801e-03	5000
34	100	8.387061e-01	2.177167e-03	5000
35	100	8.345473e-01	2.313302e-03	5000
36	100	8.306397e-01	2.438254e-03	5000
37	100	8.266465e-01	2.558962e-03	5000
38	100	8.221741e-01	2.742528e-03	5000
39	100	8.181967e-01	2.899125e-03	5000
40	100	8.140649e-01	3.061944e-03	5000
41	100	8.103296e-01	3.192007e-03	5000
42	100	8.063162e-01	3.351610e-03	5000
43	100	8.016435e-01	3.624237e-03	5000
44	100	7.977932e-01	3.849950e-03	5000
45	100	7.938888e-01	4.103372e-03	5000
46	100	7.899258e-01	4.352784e-03	5000
47	100	7.860347e-01	4.590163e-03	5000
48	100	7.817246e-01	4.841720e-03	5000
49	100	7.777501e-01	5.033066e-03	5000
50	100	7.740545e-01	5.168541e-03	5000
51	100	7.700616e-01	5.313986e-03	5000
52	100	7.665663e-01	5.507737e-03	5000
53	100	7.627405e-01	5.782639e-03	5000
54	100	7.593916e-01	5.900587e-03	5000
55	100	7.547676e-01	6.252332e-03	5000
56	100	7.511338e-01	6.569513e-03	5000
57	100	7.476015e-01	6.793870e-03	5000
58	100	7.443892e-01	6.945123e-03	5000
59	100	7.410074e-01	7.134979e-03	5000
60	100	7.375189e-01	7.419080e-03	5000
61	100	7.335448e-01	7.830629e-03	5000
62	100	7.299933e-01	8.048741e-03	5000
63	100	7.267195e-01	8.198948e-03	5000
64	100	7.230666e-01	8.461819e-03	5000
65	100	7.196525e-01	8.628084e-03	5000
66	100	7.164703e-01	8.835681e-03	5000
67	100	7.129527e-01	9.060152e-03	5000
68	100	7.094158e-01	9.316106e-03	5000
69	100	7.056952e-01	9.515373e-03	5000
70	100	7.021033e-01	9.796887e-03	5000
71	100	6.990092e-01	9.932526e-03	5000
72	100	6.960801e-01	1.016182e-02	5000
73	100	6.924374e-01	1.050087e-02	5000
74	100	6.887751e-01	1.083433e-02	5000
75	100	6.853242e-01	1.114429e-02	5000
76	100	6.819713e-01	1.141208e-02	5000
77	100	6.787186e-01	1.168320e-02	5000
78	100	6.750640e-01	1.206103e-02	5000
79	100	6.718895e-01	1.250085e-02	5000
80	100	6.679224e-01	1.281132e-02	5000
81	100	6.644107e-01	1.306519e-02	5000
82	100	6.611889e-01	1.349744e-02	5000
83	100	6.582530e-01	1.370991e-02	5000
84	100	6.546295e-01	1.401821e-02	5000
85	100	6.513802e-01	1.437183e-02	5000
86	100	6.482799e-01	1.478544e-02	5000
87	100	6.453530e-01	1.502521e-02	5000
88	100	6.422410e-01	1.526051e-02	5000
89	100	6.379888e-01	1.585957e-02	5000
