t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.888605e-01	3.862004e-07	5000
2	100	9.827516e-01	1.845980e-06	5000
3	100	9.766578e-01	5.556273e-06	5000
4	100	9.706490e-01	1.187779e-05	5000
5	100	9.646641e-01	2.143957e-05	5000
6	100	9.587068e-01	3.652036e-05	5000
7	100	9.527537e-01	5.502867e-05	5000
8	100	9.470508e-01	7.672288e-05	5000
9	100	9.411014e-01	1.048460e-04	5000
10	100	9.351803e-01	1.442729e-04	5000
11	100	9.294548e-01	1.814564e-04	5000
12	100	9.237576e-01	2.250840e-04	5000
13	100	9.182296e-01	2.853033e-04	5000
14	100	9.125491e-01	3.547239e-04	5000
15	100	9.070021e-01	4.241551e-04	5000
16	100	9.014943e-01	5.067680e-04	5000
17	100	8.962275e-01	5.887948e-04	5000
18	100	8.907216e-01	6.754861e-04	5000
19	100	8.850811e-01	8.066029e-04	5000
20	100	8.794367e-01	9.396508e-04	5000
21	100	8.736158e-01	1.074233e-03	5000
22	100	8.683317e-01	1.201609e-03	5000
23	100	8.629691e-01	1.326939e-03	5000
24	100	8.577306e-01	1.483105e-03	5000
25	100	8.523755e-01	1.649231e-03	5000
26	100	8.469430e-01	1.803988e-03	5000
27	100	8.417917e-01	1.942952e-03	5000
28	100	8.366768e-01	2.120525e-03	5000
29	100	8.317157e-01	2.268277e-03	5000
30	100	8.265730e-01	2.461835e-03	5000
31	100	8.214018e-01	2.702529e-03	5000
32	100	8.159574e-01	2.954510e-03	5000
33	100	8.113270e-01	3.128802e-03	5000
34	100	8.066531e-01	3.289347e-03	5000
35	100	8.017586e-01	3.532057e-03	5000
36	100	7.968205e-01	3.794246e-03	5000
37	100	7.917912e-01	4.120709e-03	5000
38	100	7.868811e-01	4.351177e-03	5000
39	100	7.817203e-01	4.623720e-03	5000
40	100	7.772719e-01	4.880560e-03	5000
41	100	7.725016e-01	5.181306e-03	5000
42	100	7.677159e-01	5.436541e-03	5000
43	100	7.631570e-01	5.725990e-03	5000
44	100	7.586084e-01	5.999348e-03	5000
45	100	7.542053e-01	6.263771e-03	5000
46	100	7.499897e-01	6.543336e-03	5000
47	100	7.453982e-01	6.968918e-03	5000
48	100	7.401064e-01	7.348570e-03	5000
49	100	7.358909e-01	7.628947e-03	5000
50	100	7.311024e-01	7.837084e-03	5000
51	100	7.262842e-01	8.154950e-03	5000
52	100	7.218272e-01	8.524596e-03	5000
53	100	7.174697e-01	8.878017e-03	5000
54	100	7.134778e-01	9.113784e-03	5000
55	100	7.091929e-01	9.364597e-03	5000
56	100	7.046634e-01	9.779338e-03	5000
57	100	7.008716e-01	1.007166e-02	5000
58	100	6.966165e-01	1.057000e-02	5000
59	100	6.922826e-01	1.108840e-02	5000
60	100	6.881044e-01	1.133391e-02	5000
61	100	6.836252e-01	1.177141e-02	5000
62	100	6.796334e-01	1.220050e-02	5000
63	100	6.749508e-01	1.270143e-02	5000
64	100	6.704193e-01	1.303700e-02	5000
65	100	6.658305e-01	1.362753e-02	5000
66	100	6.618736e-01	1.405182e-02	5000
67	100	6.572284e-01	1.444672e-02	5000
68	100	6.530649e-01	1.494537e-02	5000
69	100	6.485692e-01	1.555366e-02	5000
70	100	6.446239e-01	1.598319e-02	5000
71	100	6.401905e-01	1.639819e-02	5000
72	100	6.365274e-01	1.683745e-02	5000
73	100	6.327238e-01	1.726086e-02	5000
74	100	6.288608e-01	1.755851e-02	5000
75	100	6.248970e-01	1.808116e-02	5000
76	100	6.207013e-01	1.847610e-02	5000
77	100	6.170505e-01	1.899946e-02	5000
78	100	6.132913e-01	1.926905e-02	5000
79	100	6.090574e-01	1.987455e-02	5000
80	100	6.055008e-01	2.019952e-02	5000
81	100	6.022846e-01	2.048976e-02	5000
82	100	5.985574e-01	2.085073e-02	5000
83	100	5.950691e-01	2.125500e-02	5000
84	100	5.920328e-01	2.145436e-02	5000
85	100	5.878873e-01	2.200360e-02	5000
86	100	5.837323e-01	2.256035e-02	5000
87	100	5.797118e-01	2.308706e-02	5000
88	100	5.761177e-01	2.373394e-02	5000
89	100	5.725302e-01	2.405341e-02	5000
90	100	5.684476e-01	2.447726e-02	5000
91	100	5.646626e-01	2.492139e-02	5000
92	100	5.602044e-01	2.560754e-02	5000
93	100	5.564433e-01	2.594788e-02	5000
94	100	5.529018e-01	2.629993e-02	5000
95	100	5.490836e-01	2.674228e-02	5000
96	100	5.461523e-01	2.698765e-02	5000
97	100	5.427324e-01	2.755271e-02	5000
98	100	5.387034e-01	2.791966e-02	5000
99	100	5.347997e-01	2.852623e-02	5000
100	100	5.314567e-01	2.911233e-02	5000

