t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	-4.898331e-15	500
1	102	9.901294e-01	2.492195e-07	500
2	104	9.854859e-01	1.018371e-06	500
3	106	9.808321e-01	2.719722e-06	500
4	108	9.761835e-01	5.852910e-06	500
5	110	9.717565e-01	1.032282e-05	500
6	112	9.674662e-01	1.626151e-05	500
7	114	9.630439e-01	2.648253e-05	500
8	116	9.588499e-01	3.700572e-05	500
9	118	9.549076e-01	5.576765e-05	500
10	120	9.510190e-01	6.762394e-05	500
11	122	9.471487e-01	8.802780e-05	500
12	124	9.433643e-01	1.035593e-04	500
13	126	9.395890e-01	1.208924e-04	500
14	128	9.358262e-01	1.448292e-04	500
15	130	9.323417e-01	1.816578e-04	500
16	132	9.285842e-01	2.083295e-04	500
17	134	9.248937e-01	2.605579e-04	500
18	136	9.212972e-01	3.022727e-04	500
19	138	9.178957e-01	3.488029e-04	500
20	140	9.145608e-01	3.919616e-04	500
21	142	9.112254e-01	4.544607e-04	500
22	144	9.079242e-01	5.204029e-04	500
23	146	9.050752e-01	5.796680e-04	500
24	148	9.023646e-01	6.066245e-04	500
25	150	8.998528e-01	6.441329e-04	500
26	153	8.970939e-01	6.426536e-04	500
27	156	8.945481e-01	6.754364e-04	500
28	159	8.924173e-01	6.554433e-04	500
29	162	8.889851e-01	7.770643e-04	500
30	165	8.862962e-01	7.977553e-04	500
31	168	8.831963e-01	8.751059e-04	500
32	171	8.805275e-01	9.276116e-04	500
33	174	8.776470e-01	9.796696e-04	500
34	177	8.754261e-01	9.772989e-04	500
35	180	8.729843e-01	1.030173e-03	500
36	183	8.702769e-01	1.099285e-03	500
37	186	8.674549e-01	1.130407e-03	500
38	189	8.643960e-01	1.267182e-03	500
39	192	8.626646e-01	1.292062e-03	500
40	195	8.606933e-01	1.359235e-03	500
41	198	8.580511e-01	1.477160e-03	500
42	201	8.559225e-01	1.496832e-03	500
43	205	8.538013e-01	1.611966e-03	500
44	209	8.516925e-01	1.703227e-03	500
45	213	8.495181e-01	1.802175e-03	500
46	217	8.479567e-01	1.857552e-03	500
47	221	8.466158e-01	1.860610e-03	500
48	225	8.448070e-01	1.822803e-03	500
49	229	8.426283e-01	1.934739e-03	500
50	233	8.406180e-01	2.035021e-03	500
51	237	8.392119e-01	2.121773e-03	500
52	241	8.375097e-01	2.259366e-03	500
53	245	8.360226e-01	2.310870e-03	500
54	249	8.349203e-01	2.371583e-03	500
55	253	8.339150e-01	2.452931e-03	500
56	258	8.323892e-01	2.532868e-03	500
57	263	8.316499e-01	2.567821e-03	500
58	268	8.295740e-01	2.710778e-03	500
59	273	8.275571e-01	2.880667e-03	500
60	278	8.266596e-01	2.967304e-03	500
61	283	8.250468e-01	3.068458e-03	500
