t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	-4.898331e-15	500
1	100	9.855646e-01	9.011485e-07	500
2	100	9.761483e-01	5.484996e-06	500
3	100	9.667995e-01	1.771098e-05	500
4	100	9.575859e-01	3.468331e-05	500
5	100	9.486568e-01	6.554486e-05	500
6	100	9.392900e-01	1.213725e-04	500
7	100	9.301427e-01	1.954783e-04	500
8	100	9.209417e-01	2.468722e-04	500
9	100	9.119976e-01	3.451914e-04	500
10	100	9.034528e-01	4.219139e-04	500
11	100	8.940645e-01	5.680473e-04	500
12	100	8.862967e-01	6.252414e-04	500
13	100	8.780989e-01	8.056282e-04	500
14	100	8.709280e-01	1.040760e-03	500
15	100	8.626923e-01	1.268647e-03	500
16	100	8.540680e-01	1.515941e-03	500
17	100	8.458310e-01	1.811972e-03	500
18	100	8.367428e-01	2.151663e-03	500
19	100	8.277681e-01	2.487811e-03	500
20	100	8.198132e-01	2.873370e-03	500
21	100	8.121956e-01	2.965142e-03	500
22	100	8.032424e-01	3.612746e-03	500
23	100	7.971328e-01	3.850114e-03	500
24	100	7.919777e-01	3.878015e-03	500
25	100	7.839296e-01	4.239363e-03	500
26	100	7.766275e-01	4.855373e-03	500
27	100	7.694418e-01	5.132706e-03	500
28	100	7.621750e-01	5.541474e-03	500
29	100	7.531454e-01	5.908733e-03	500
30	100	7.461360e-01	5.933031e-03	500
31	100	7.401427e-01	6.259000e-03	500
32	100	7.331516e-01	6.646193e-03	500
33	100	7.259156e-01	6.923399e-03	500
34	100	7.193531e-01	7.248580e-03	500
35	100	7.137804e-01	7.808845e-03	500
36	100	7.085531e-01	8.076053e-03	500
37	100	7.029847e-01	8.690580e-03	500
38	100	6.974969e-01	9.162448e-03	500
39	100	6.881277e-01	1.039284e-02	500
40	100	6.821524e-01	1.074095e-02	500
41	100	6.749680e-01	1.144798e-02	500
42	100	6.688947e-01	1.145802e-02	500
43	100	6.621596e-01	1.241468e-02	500
44	100	6.553617e-01	1.299494e-02	500
45	100	6.485730e-01	1.330198e-02	500
46	100	6.426033e-01	1.427418e-02	500
47	100	6.353029e-01	1.557427e-02	500
48	100	6.284214e-01	1.645475e-02	500
49	100	6.223604e-01	1.745284e-02	500
50	100	6.146428e-01	1.835661e-02	500
51	100	6.065794e-01	1.914048e-02	500
52	100	6.006197e-01	1.935394e-02	500
53	100	5.947412e-01	2.075141e-02	500
54	100	5.912911e-01	2.064077e-02	500
55	100	5.859618e-01	2.130433e-02	500
56	100	5.797076e-01	2.275568e-02	500
57	100	5.727474e-01	2.394720e-02	500
58	100	5.666944e-01	2.509468e-02	500
59	100	5.613005e-01	2.599029e-02	500
60	100	5.540919e-01	2.623021e-02	500
61	100	5.468248e-01	2.704546e-02	500
62	100	5.428981e-01	2.790234e-02	500
63	100	5.361172e-01	2.902352e-02	500
64	100	5.321975e-01	3.019409e-02	500
65	100	5.264843e-01	3.123496e-02	500
66	100	5.190543e-01	3.095154e-02	500
67	100	5.154235e-01	3.090579e-02	500
68	100	5.121470e-01	3.050839e-02	500
69	100	5.058272e-01	3.153074e-02	500
70	100	5.019524e-01	3.123190e-02	500
71	100	5.009629e-01	3.133198e-02	500
72	100	4.971070e-01	3.155843e-02	500
73	100	4.947124e-01	3.175804e-02	500
74	100	4.911913e-01	3.195030e-02	500
75	100	4.854848e-01	3.216236e-02	500
76	100	4.804977e-01	3.306191e-02	500
77	100	4.771911e-01	3.337660e-02	500
78	100	4.729057e-01	3.335966e-02	500
79	100	4.685302e-01	3.359164e-02	500
80	100	4.637444e-01	3.352468e-02	500
81	100	4.617511e-01	3.401284e-02	500
82	100	4.565052e-01	3.424386e-02	500
83	100	4.520465e-01	3.484123e-02	500
84	100	4.464437e-01	3.492157e-02	500
85	100	4.411239e-01	3.558522e-02	500
86	100	4.397369e-01	3.695212e-02	500
87	100	4.351341e-01	3.792423e-02	500
88	100	4.304733e-01	3.880760e-02	500
89	100	4.277995e-01	3.837440e-02	500
90	100	4.239481e-01	3.983071e-02	500
91	100	4.185155e-01	3.998518e-02	500
92	100	4.148517e-01	4.051922e-02	500
93	100	4.119962e-01	4.165651e-02	500
94	100	4.055055e-01	4.227490e-02	500
95	100	4.007866e-01	4.208537e-02	500
96	100	3.983491e-01	4.230433e-02	500
97	100	3.928740e-01	4.296184e-02	500
98	100	3.870691e-01	4.307021e-02	500
99	100	3.848342e-01	4.290194e-02	500
100	100	3.817751e-01	4.318432e-02	500

