t	PopSize	m_Het	s2_Het	n_Het
120	100	4.391934e-02	1.562195e-02	5000
121	100	4.290583e-02	1.533438e-02	5000
122	100	4.148532e-02	1.471833e-02	5000
123	100	4.078036e-02	1.446788e-02	5000
124	100	3.992928e-02	1.419676e-02	5000
125	100	3.902786e-02	1.406142e-02	5000
126	100	3.791238e-02	1.365370e-02	5000
127	100	3.712083e-02	1.342527e-02	5000
128	100	3.621798e-02	1.316533e-02	5000
129	100	3.558019e-02	1.302506e-02	5000
130	100	3.460995e-02	1.275408e-02	5000
131	100	3.367708e-02	1.245362e-02	5000
132	100	3.255650e-02	1.195831e-02	5000
133	100	3.211797e-02	1.189251e-02	5000
134	100	3.154994e-02	1.163057e-02	5000
135	100	3.065074e-02	1.135691e-02	5000
136	100	2.983854e-02	1.108005e-02	5000
137	100	2.947337e-02	1.095189e-02	5000
138	100	2.878798e-02	1.070749e-02	5000
139	100	2.806040e-02	1.043178e-02	5000
140	100	2.707728e-02	1.014029e-02	5000
141	100	2.602887e-02	9.771158e-03	5000
142	100	2.537210e-02	9.465680e-03	5000
143	100	2.474745e-02	9.313285e-03	5000
144	100	2.394193e-02	8.993077e-03	5000
145	100	2.338069e-02	8.817162e-03	5000
146	100	2.282319e-02	8.623250e-03	5000
147	100	2.236358e-02	8.498199e-03	5000
148	100	2.175450e-02	8.258683e-03	5000
149	100	2.128370e-02	8.017897e-03	5000
150	100	2.089980e-02	7.924753e-03	5000
151	100	2.045453e-02	7.772385e-03	5000
152	100	1.990517e-02	7.552424e-03	5000
153	100	1.928345e-02	7.286629e-03	5000
154	100	1.862490e-02	6.952303e-03	5000
155	100	1.828570e-02	6.920488e-03	5000
156	100	1.778985e-02	6.740151e-03	5000
157	100	1.733922e-02	6.601841e-03	5000
158	100	1.675506e-02	6.341283e-03	5000
159	100	1.653063e-02	6.261692e-03	5000
160	100	1.633165e-02	6.202256e-03	5000
161	100	1.604690e-02	6.083362e-03	5000
162	100	1.570577e-02	5.905690e-03	5000
163	100	1.540948e-02	5.768555e-03	5000
164	100	1.471859e-02	5.439092e-03	5000
165	100	1.429648e-02	5.307578e-03	5000
166	100	1.373497e-02	5.039641e-03	5000
167	100	1.332881e-02	4.938138e-03	5000
168	100	1.311535e-02	4.851947e-03	5000
169	100	1.288035e-02	4.828724e-03	5000
170	100	1.263039e-02	4.781291e-03	5000
171	100	1.209578e-02	4.594182e-03	5000
172	100	1.162732e-02	4.416661e-03	5000
173	100	1.100219e-02	4.106172e-03	5000
174	100	1.075680e-02	4.019268e-03	5000
175	100	1.070100e-02	4.022209e-03	5000
176	100	1.051786e-02	4.008633e-03	5000
177	100	1.026318e-02	3.913163e-03	5000
178	100	9.867540e-03	3.731610e-03	5000
179	100	9.274530e-03	3.500855e-03	5000
180	100	8.958190e-03	3.401993e-03	5000
181	100	8.882360e-03	3.424294e-03	5000
182	100	8.920660e-03	3.525408e-03	5000
183	100	8.857390e-03	3.524094e-03	5000
184	100	8.598360e-03	3.420993e-03	5000
