t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.883969e-01	3.270229e-07	5000
2	100	9.818755e-01	2.225320e-06	5000
3	100	9.754161e-01	6.878403e-06	5000
4	100	9.689449e-01	1.500942e-05	5000
5	100	9.625493e-01	2.714879e-05	5000
6	100	9.561186e-01	4.576588e-05	5000
7	100	9.497533e-01	6.816844e-05	5000
8	100	9.434222e-01	9.886866e-05	5000
9	100	9.373057e-01	1.344041e-04	5000
10	100	9.310459e-01	1.809792e-04	5000
11	100	9.248822e-01	2.394520e-04	5000
12	100	9.187503e-01	3.020731e-04	5000
13	100	9.127049e-01	3.658592e-04	5000
14	100	9.064725e-01	4.464027e-04	5000
15	100	9.003899e-01	5.298333e-04	5000
16	100	8.944954e-01	6.453274e-04	5000
17	100	8.885648e-01	7.373149e-04	5000
18	100	8.828769e-01	8.742619e-04	5000
19	100	8.768450e-01	1.013634e-03	5000
20	100	8.711047e-01	1.165563e-03	5000
21	100	8.652401e-01	1.320719e-03	5000
22	100	8.596453e-01	1.512163e-03	5000
23	100	8.542357e-01	1.677713e-03	5000
24	100	8.484247e-01	1.887475e-03	5000
25	100	8.430390e-01	2.040028e-03	5000
26	100	8.376564e-01	2.224172e-03	5000
27	100	8.320560e-01	2.451862e-03	5000
28	100	8.265610e-01	2.694186e-03	5000
29	100	8.209281e-01	2.965827e-03	5000
30	100	8.152760e-01	3.256895e-03	5000
31	100	8.099039e-01	3.519698e-03	5000
32	100	8.045864e-01	3.729239e-03	5000
33	100	7.993150e-01	3.946743e-03	5000
34	100	7.940200e-01	4.279689e-03	5000
35	100	7.888071e-01	4.571366e-03	5000
36	100	7.835452e-01	4.927195e-03	5000
37	100	7.788509e-01	5.119511e-03	5000
38	100	7.739815e-01	5.309269e-03	5000
39	100	7.689141e-01	5.691791e-03	5000
40	100	7.639658e-01	5.949959e-03	5000
41	100	7.590423e-01	6.348836e-03	5000
42	100	7.539251e-01	6.733924e-03	5000
43	100	7.486479e-01	7.010035e-03	5000
44	100	7.432448e-01	7.394441e-03	5000
45	100	7.383327e-01	7.676098e-03	5000
46	100	7.336864e-01	8.075644e-03	5000
47	100	7.291430e-01	8.374364e-03	5000
48	100	7.245931e-01	8.741649e-03	5000
49	100	7.195499e-01	9.176153e-03	5000
50	100	7.148820e-01	9.490142e-03	5000
51	100	7.100291e-01	9.779396e-03	5000
52	100	7.050593e-01	1.020123e-02	5000
53	100	7.003624e-01	1.054895e-02	5000
54	100	6.959117e-01	1.100971e-02	5000
55	100	6.914759e-01	1.150619e-02	5000
56	100	6.869889e-01	1.188676e-02	5000
57	100	6.823663e-01	1.229019e-02	5000
