t	PopSize	m_Het	s2_Het	n_Het
120	500	8.863310e-01	7.680713e-04	5000
121	500	8.853261e-01	7.896130e-04	5000
122	500	8.844676e-01	8.032653e-04	5000
123	500	8.836237e-01	8.105412e-04	5000
124	500	8.827599e-01	8.289584e-04	5000
125	500	8.818278e-01	8.512392e-04	5000
126	500	8.809943e-01	8.629574e-04	5000
127	500	8.800789e-01	8.778282e-04	5000
128	500	8.793329e-01	8.850175e-04	5000
129	500	8.785592e-01	8.951077e-04	5000
130	500	8.776964e-01	9.256031e-04	5000
131	500	8.768695e-01	9.533706e-04	5000
132	500	8.760385e-01	9.790612e-04	5000
133	500	8.752371e-01	9.854614e-04	5000
134	500	8.744513e-01	9.985655e-04	5000
135	500	8.736322e-01	1.023907e-03	5000
136	500	8.727924e-01	1.045792e-03	5000
137	500	8.718038e-01	1.078790e-03	5000
138	500	8.708353e-01	1.096465e-03	5000
139	500	8.700416e-01	1.112917e-03	5000
140	500	8.691341e-01	1.138592e-03	5000
141	500	8.680911e-01	1.171512e-03	5000
142	500	8.673304e-01	1.195205e-03	5000
143	500	8.664960e-01	1.210480e-03	5000
144	500	8.657031e-01	1.221693e-03	5000
145	500	8.647926e-01	1.247480e-03	5000
146	500	8.640150e-01	1.258282e-03	5000
147	500	8.630344e-01	1.293947e-03	5000
148	500	8.621762e-01	1.318929e-03	5000
149	500	8.612160e-01	1.356277e-03	5000
150	500	8.602400e-01	1.379964e-03	5000
151	500	8.593079e-01	1.408347e-03	5000
152	500	8.584505e-01	1.440433e-03	5000
153	500	8.574415e-01	1.460441e-03	5000
154	500	8.566492e-01	1.480450e-03	5000
155	500	8.558037e-01	1.502041e-03	5000
156	500	8.549608e-01	1.541147e-03	5000
157	500	8.541148e-01	1.563575e-03	5000
158	500	8.532505e-01	1.592488e-03	5000
159	500	8.524537e-01	1.624226e-03	5000
160	500	8.515971e-01	1.662458e-03	5000
161	500	8.507455e-01	1.690074e-03	5000
162	500	8.498064e-01	1.729028e-03	5000
163	500	8.488465e-01	1.765118e-03	5000
164	500	8.479967e-01	1.780866e-03	5000
165	500	8.471039e-01	1.802077e-03	5000
166	500	8.460973e-01	1.852053e-03	5000
167	500	8.451771e-01	1.869096e-03	5000
168	500	8.443615e-01	1.888039e-03	5000
169	500	8.434782e-01	1.910950e-03	5000
170	500	8.426914e-01	1.925862e-03	5000
171	500	8.418513e-01	1.948508e-03	5000
172	500	8.411009e-01	1.974489e-03	5000
173	500	8.402286e-01	2.002473e-03	5000
174	500	8.394846e-01	2.045810e-03	5000
175	500	8.386528e-01	2.073885e-03	5000
176	500	8.378128e-01	2.091673e-03	5000
177	500	8.370992e-01	2.102601e-03	5000
178	500	8.363265e-01	2.130285e-03	5000
179	500	8.355980e-01	2.137954e-03	5000
180	500	8.347670e-01	2.171563e-03	5000
181	500	8.339976e-01	2.192274e-03	5000
182	500	8.330604e-01	2.230754e-03	5000
183	500	8.322594e-01	2.257821e-03	5000
184	500	8.313826e-01	2.288915e-03	5000
185	500	8.306543e-01	2.312051e-03	5000
186	500	8.298256e-01	2.365027e-03	5000
187	500	8.289475e-01	2.409253e-03	5000
188	500	8.281695e-01	2.430652e-03	5000
189	500	8.272810e-01	2.471152e-03	5000
190	500	8.264694e-01	2.509899e-03	5000
191	500	8.255623e-01	2.557971e-03	5000
192	500	8.247542e-01	2.601062e-03	5000
193	500	8.239439e-01	2.648089e-03	5000
194	500	8.232532e-01	2.666008e-03	5000
195	500	8.224778e-01	2.699422e-03	5000
196	500	8.217447e-01	2.708695e-03	5000
197	500	8.209633e-01	2.728435e-03	5000
198	500	8.199591e-01	2.790191e-03	5000
199	500	8.191327e-01	2.827465e-03	5000
200	500	8.183588e-01	2.887000e-03	5000
201	500	8.176350e-01	2.906516e-03	5000
202	500	8.169079e-01	2.938388e-03	5000
203	500	8.161595e-01	2.976504e-03	5000
204	500	8.153937e-01	3.047664e-03	5000
205	500	8.145778e-01	3.088931e-03	5000
206	500	8.137042e-01	3.134430e-03	5000
207	500	8.127695e-01	3.178020e-03	5000
208	500	8.118393e-01	3.206256e-03	5000
209	500	8.108977e-01	3.263538e-03	5000
210	500	8.101124e-01	3.299771e-03	5000
211	500	8.093041e-01	3.319338e-03	5000
212	500	8.083537e-01	3.379497e-03	5000
213	500	8.075386e-01	3.396477e-03	5000
214	500	8.067043e-01	3.425172e-03	5000
215	500	8.059465e-01	3.450703e-03	5000
216	500	8.053843e-01	3.475332e-03	5000
217	500	8.045052e-01	3.512698e-03	5000
218	500	8.036730e-01	3.540505e-03	5000
219	500	8.029630e-01	3.593590e-03	5000
220	500	8.022358e-01	3.666577e-03	5000
221	500	8.013864e-01	3.694211e-03	5000
222	500	8.006386e-01	3.722817e-03	5000
223	500	7.997653e-01	3.783669e-03	5000
224	500	7.987192e-01	3.825960e-03	5000
225	500	7.977483e-01	3.859095e-03	5000
226	500	7.969691e-01	3.879235e-03	5000
227	500	7.961229e-01	3.929812e-03	5000
228	500	7.951361e-01	3.973952e-03	5000
229	500	7.943395e-01	4.039577e-03	5000
