t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.900260e-01	2.475354e-07	5000
2	100	9.850398e-01	1.192105e-06	5000
3	100	9.801279e-01	3.415725e-06	5000
4	100	9.752106e-01	6.877293e-06	5000
5	100	9.703693e-01	1.235408e-05	5000
6	100	9.654993e-01	2.063256e-05	5000
7	100	9.607070e-01	3.206772e-05	5000
8	100	9.560210e-01	4.548879e-05	5000
9	100	9.512987e-01	6.261533e-05	5000
10	100	9.465121e-01	8.184393e-05	5000
11	100	9.418279e-01	1.068608e-04	5000
12	100	9.371565e-01	1.377363e-04	5000
13	100	9.325450e-01	1.685824e-04	5000
14	100	9.277671e-01	2.122831e-04	5000
15	100	9.231801e-01	2.552454e-04	5000
16	100	9.186230e-01	2.990329e-04	5000
17	100	9.139791e-01	3.534479e-04	5000
18	100	9.094474e-01	4.022914e-04	5000
19	100	9.049697e-01	4.589716e-04	5000
20	100	9.002273e-01	5.286451e-04	5000
21	100	8.958086e-01	6.106828e-04	5000
22	100	8.913682e-01	6.844060e-04	5000
23	100	8.869786e-01	7.897435e-04	5000
24	100	8.822535e-01	8.875801e-04	5000
25	100	8.776189e-01	1.015502e-03	5000
26	100	8.732142e-01	1.105971e-03	5000
27	100	8.688538e-01	1.229684e-03	5000
28	100	8.648556e-01	1.296032e-03	5000
29	100	8.603925e-01	1.413622e-03	5000
30	100	8.559277e-01	1.555811e-03	5000
31	100	8.516196e-01	1.678649e-03	5000
32	100	8.473848e-01	1.800856e-03	5000
33	100	8.433431e-01	1.911996e-03	5000
34	100	8.392165e-01	2.059576e-03	5000
35	100	8.350909e-01	2.250012e-03	5000
36	100	8.312361e-01	2.416974e-03	5000
37	100	8.269438e-01	2.564698e-03	5000
38	100	8.228343e-01	2.739504e-03	5000
39	100	8.186843e-01	2.945324e-03	5000
40	100	8.146549e-01	3.099377e-03	5000
41	100	8.107012e-01	3.271925e-03	5000
42	100	8.067334e-01	3.472424e-03	5000
43	100	8.026693e-01	3.605084e-03	5000
44	100	7.982822e-01	3.804388e-03	5000
45	100	7.943356e-01	3.992905e-03	5000
46	100	7.901042e-01	4.242607e-03	5000
47	100	7.860511e-01	4.441468e-03	5000
48	100	7.825956e-01	4.610247e-03	5000
49	100	7.788875e-01	4.713420e-03	5000
50	100	7.746334e-01	5.009504e-03	5000
51	100	7.710474e-01	5.152668e-03	5000
52	100	7.675993e-01	5.395716e-03	5000
53	100	7.635792e-01	5.733508e-03	5000
54	100	7.600530e-01	5.952030e-03	5000
55	100	7.566114e-01	6.107373e-03	5000
56	100	7.526814e-01	6.399351e-03	5000
57	100	7.493602e-01	6.679164e-03	5000
58	100	7.454694e-01	6.925190e-03	5000
59	100	7.420871e-01	7.146493e-03	5000
60	100	7.382393e-01	7.446278e-03	5000
61	100	7.344751e-01	7.791473e-03	5000
62	100	7.307668e-01	8.045016e-03	5000
63	100	7.269831e-01	8.334586e-03	5000
64	100	7.234517e-01	8.681228e-03	5000
65	100	7.197710e-01	8.980970e-03	5000
66	100	7.163994e-01	9.309270e-03	5000
67	100	7.129069e-01	9.595615e-03	5000
68	100	7.088062e-01	9.936340e-03	5000
69	100	7.055079e-01	1.018034e-02	5000
70	100	7.023746e-01	1.038972e-02	5000
71	100	6.990142e-01	1.068816e-02	5000
72	100	6.951439e-01	1.105717e-02	5000
73	100	6.919947e-01	1.122573e-02	5000
74	100	6.885340e-01	1.154739e-02	5000
75	100	6.847466e-01	1.178931e-02	5000
76	100	6.816172e-01	1.215912e-02	5000
77	100	6.782629e-01	1.243289e-02	5000
78	100	6.745614e-01	1.275196e-02	5000
79	100	6.710216e-01	1.303543e-02	5000
80	100	6.677385e-01	1.332317e-02	5000
81	100	6.644262e-01	1.365930e-02	5000
82	100	6.614616e-01	1.404883e-02	5000
83	100	6.583929e-01	1.439892e-02	5000
84	100	6.541623e-01	1.491291e-02	5000
85	100	6.508156e-01	1.519780e-02	5000
86	100	6.474779e-01	1.567498e-02	5000
87	100	6.441069e-01	1.603859e-02	5000
88	100	6.411088e-01	1.634342e-02	5000
89	100	6.381204e-01	1.659371e-02	5000
90	100	6.350172e-01	1.684291e-02	5000
91	100	6.322674e-01	1.699720e-02	5000
92	100	6.291933e-01	1.726926e-02	5000
93	100	6.261265e-01	1.756903e-02	5000
94	100	6.227313e-01	1.797015e-02	5000
95	100	6.199283e-01	1.828845e-02	5000
96	100	6.170648e-01	1.866994e-02	5000
97	100	6.136357e-01	1.910335e-02	5000
98	100	6.102468e-01	1.944756e-02	5000
99	100	6.069991e-01	1.999818e-02	5000
100	100	6.041240e-01	2.029246e-02	5000

