t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	-4.898331e-15	500
1	105	9.902649e-01	2.090316e-07	500
2	110	9.857779e-01	1.002093e-06	500
3	115	9.814335e-01	2.440385e-06	500
4	120	9.774047e-01	5.975113e-06	500
5	126	9.736241e-01	8.831325e-06	500
6	132	9.700204e-01	1.283661e-05	500
7	138	9.664301e-01	1.801009e-05	500
8	144	9.630540e-01	2.324801e-05	500
9	151	9.597898e-01	3.256432e-05	500
10	158	9.568092e-01	3.954127e-05	500
11	165	9.537472e-01	4.878303e-05	500
12	173	9.509972e-01	6.099122e-05	500
13	181	9.484067e-01	7.021588e-05	500
14	190	9.458114e-01	8.090486e-05	500
15	199	9.435351e-01	9.366286e-05	500
16	208	9.411195e-01	1.084310e-04	500
17	218	9.388232e-01	1.251863e-04	500
18	228	9.368444e-01	1.315489e-04	500
19	239	9.349523e-01	1.362225e-04	500
20	250	9.330039e-01	1.524886e-04	500
21	262	9.311490e-01	1.736468e-04	500
22	275	9.292889e-01	1.909889e-04	500
23	288	9.279659e-01	2.085899e-04	500
24	302	9.261490e-01	2.229252e-04	500
25	317	9.248389e-01	2.423270e-04	500
26	332	9.233231e-01	2.512146e-04	500
27	348	9.220720e-01	2.607265e-04	500
28	365	9.208523e-01	2.647086e-04	500
29	383	9.198210e-01	2.820784e-04	500
30	402	9.189141e-01	2.933485e-04	500
31	422	9.178655e-01	3.006831e-04	500
32	443	9.169274e-01	2.967215e-04	500
33	465	9.157179e-01	3.217581e-04	500
34	488	9.147427e-01	3.384976e-04	500
35	512	9.141090e-01	3.467048e-04	500
36	537	9.131233e-01	3.569553e-04	500
37	563	9.123235e-01	3.645027e-04	500
38	591	9.114369e-01	3.880159e-04	500
39	620	9.108065e-01	3.939528e-04	500
40	651	9.101706e-01	4.080674e-04	500
41	683	9.093677e-01	4.158693e-04	500
42	717	9.087402e-01	4.367936e-04	500
43	752	9.079631e-01	4.485958e-04	500
44	789	9.074701e-01	4.522903e-04	500
45	828	9.070815e-01	4.424449e-04	500
46	869	9.064437e-01	4.524709e-04	500
47	912	9.059635e-01	4.636602e-04	500
48	957	9.056236e-01	4.768898e-04	500
49	1004	9.052931e-01	4.760798e-04	500
50	1054	9.047754e-01	4.830180e-04	500
51	1106	9.045748e-01	4.729892e-04	500
52	1161	9.042621e-01	4.864487e-04	500
53	1219	9.039090e-01	4.866526e-04	500
54	1279	9.036376e-01	4.905146e-04	500
55	1342	9.031043e-01	5.054357e-04	500
56	1409	9.027721e-01	5.163489e-04	500
57	1479	9.023612e-01	5.237614e-04	500
58	1552	9.021167e-01	5.230247e-04	500
59	1629	9.017202e-01	5.236924e-04	500
60	1710	9.015138e-01	5.222521e-04	500
61	1795	9.013175e-01	5.257354e-04	500
62	1884	9.009911e-01	5.370988e-04	500
63	1978	9.006910e-01	5.472472e-04	500
64	2076	9.004561e-01	5.520897e-04	500
65	2179	9.002071e-01	5.556398e-04	500
66	2287	9.000299e-01	5.589887e-04	500
67	2401	8.997342e-01	5.694844e-04	500
68	2521	8.995189e-01	5.711048e-04	500
69	2647	8.993990e-01	5.675194e-04	500
70	2779	8.991989e-01	5.799468e-04	500
71	2917	8.989598e-01	5.851901e-04	500
72	3062	8.987905e-01	5.868949e-04	500
73	3215	8.986507e-01	5.935564e-04	500
74	3375	8.984864e-01	5.946364e-04	500
75	3543	8.983138e-01	6.012978e-04	500
76	3720	8.981597e-01	6.097231e-04	500
77	3906	8.980800e-01	6.068415e-04	500
78	4101	8.978911e-01	6.184599e-04	500
79	4306	8.978653e-01	6.142243e-04	500
80	4521	8.978107e-01	6.174776e-04	500
81	4747	8.976910e-01	6.208172e-04	500
82	4984	8.976255e-01	6.232677e-04	500
83	5233	8.975093e-01	6.250911e-04	500
84	5494	8.974211e-01	6.279851e-04	500
85	5768	8.974212e-01	6.194068e-04	500
86	6056	8.973688e-01	6.184928e-04	500
87	6358	8.972217e-01	6.215961e-04	500
88	6675	8.971136e-01	6.276019e-04	500
89	7008	8.969939e-01	6.342917e-04	500
90	7358	8.969365e-01	6.382593e-04	500
91	7725	8.968237e-01	6.420295e-04	500
92	8111	8.967684e-01	6.387517e-04	500
93	8516	8.967580e-01	6.303730e-04	500
94	8941	8.966814e-01	6.320260e-04	500
95	9388	8.966162e-01	6.326756e-04	500
96	9857	8.966345e-01	6.321667e-04	500
97	10349	8.965918e-01	6.339771e-04	500
98	10866	8.966263e-01	6.262522e-04	500
99	11409	8.966049e-01	6.202850e-04	500
100	100	8.915346e-01	7.599011e-04	500
101	105	8.871548e-01	8.346839e-04	500
102	110	8.827656e-01	9.037968e-04	500
103	115	8.786680e-01	9.854166e-04	500
104	120	8.743535e-01	1.039524e-03	500
105	126	8.707940e-01	1.183338e-03	500
106	132	8.671100e-01	1.211239e-03	500
107	138	8.639181e-01	1.225883e-03	500
108	144	8.611696e-01	1.243578e-03	500
109	151	8.586111e-01	1.321634e-03	500
110	158	8.561930e-01	1.360881e-03	500
111	165	8.534585e-01	1.428878e-03	500
112	173	8.509065e-01	1.538713e-03	500
113	181	8.479142e-01	1.635790e-03	500
114	190	8.454178e-01	1.711406e-03	500
115	199	8.433667e-01	1.738596e-03	500
116	208	8.415840e-01	1.786314e-03	500
117	218	8.402385e-01	1.787929e-03	500
118	228	8.384473e-01	1.825334e-03	500
119	239	8.363696e-01	1.954456e-03	500
120	250	8.346886e-01	2.032942e-03	500
121	262	8.327400e-01	2.104556e-03	500
122	275	8.310666e-01	2.124197e-03	500
123	288	8.294369e-01	2.192935e-03	500
124	302	8.285127e-01	2.225691e-03	500
125	317	8.274264e-01	2.236274e-03	500
126	332	8.258946e-01	2.276453e-03	500
127	348	8.244915e-01	2.348718e-03	500
128	365	8.229294e-01	2.442684e-03	500
129	383	8.221882e-01	2.474509e-03	500
130	402	8.210709e-01	2.549995e-03	500
131	422	8.198033e-01	2.678162e-03	500
132	443	8.190758e-01	2.739872e-03	500
133	465	8.178374e-01	2.804082e-03	500
134	488	8.168646e-01	2.883802e-03	500
135	512	8.164110e-01	2.925892e-03	500
136	537	8.158642e-01	2.873204e-03	500
