t	PopSize	m_Het	s2_Het	n_Het
0	100	9.950000e-01	2.125005e-13	5000
1	100	9.887916e-01	4.278904e-07	5000
2	100	9.823133e-01	2.496363e-06	5000
3	100	9.757557e-01	7.119618e-06	5000
4	100	9.692621e-01	1.577271e-05	5000
5	100	9.627603e-01	2.797578e-05	5000
6	100	9.563018e-01	4.733979e-05	5000
7	100	9.498428e-01	7.154008e-05	5000
8	100	9.434461e-01	1.052823e-04	5000
9	100	9.371148e-01	1.457906e-04	5000
10	100	9.307922e-01	1.882371e-04	5000
11	100	9.245962e-01	2.546097e-04	5000
12	100	9.184376e-01	3.260476e-04	5000
13	100	9.124454e-01	3.875216e-04	5000
14	100	9.063111e-01	4.696542e-04	5000
15	100	9.003886e-01	5.619023e-04	5000
16	100	8.944945e-01	6.537184e-04	5000
17	100	8.881216e-01	7.876442e-04	5000
18	100	8.822128e-01	9.254570e-04	5000
19	100	8.762440e-01	1.040915e-03	5000
20	100	8.704235e-01	1.193411e-03	5000
21	100	8.646864e-01	1.321607e-03	5000
22	100	8.590604e-01	1.503213e-03	5000
23	100	8.533671e-01	1.668075e-03	5000
24	100	8.477562e-01	1.873514e-03	5000
25	100	8.418797e-01	2.139166e-03	5000
26	100	8.363798e-01	2.343272e-03	5000
27	100	8.307163e-01	2.564208e-03	5000
28	100	8.249044e-01	2.850646e-03	5000
29	100	8.195649e-01	3.141296e-03	5000
30	100	8.141589e-01	3.375094e-03	5000
31	100	8.086334e-01	3.617159e-03	5000
32	100	8.034072e-01	3.906892e-03	5000
33	100	7.978745e-01	4.203895e-03	5000
34	100	7.924989e-01	4.447628e-03	5000
35	100	7.873661e-01	4.751605e-03	5000
36	100	7.822213e-01	4.975677e-03	5000
37	100	7.771303e-01	5.427274e-03	5000
38	100	7.718291e-01	5.705247e-03	5000
39	100	7.665091e-01	5.929712e-03	5000
40	100	7.611977e-01	6.274764e-03	5000
41	100	7.558672e-01	6.725587e-03	5000
42	100	7.511175e-01	6.970541e-03	5000
43	100	7.464467e-01	7.293143e-03	5000
44	100	7.417985e-01	7.556873e-03	5000
45	100	7.365613e-01	7.889553e-03	5000
46	100	7.314019e-01	8.323473e-03	5000
47	100	7.273042e-01	8.522035e-03	5000
48	100	7.220845e-01	9.153383e-03	5000
